titulo,ventas_millones,serie,plataformas,anio_lanzamiento,desarrollador,editor
Tetris,520,None,Multi-platform,1988[c],Various,Various
Minecraft,400,Minecraft,Multi-platform,2011[d],Mojang Studios,Mojang Studios
Grand Theft Auto V,230,Grand Theft Auto,Multi-platform,2013,Rockstar North,Rockstar Games
Red Dead Redemption 2,87,Red Dead,Multi-platform,2018,Rockstar Games,Rockstar Games
Wii Sports[b],82.9,Wii,Wii,2006,Nintendo EAD,Nintendo
Mario Kart 8/Deluxe,79.99,Mario Kart,Wii U/Switch,2014,Nintendo EAD/Nintendo EPD(Deluxe),Nintendo
PUBG: Battlegrounds,75,PUBG Universe,Multi-platform,2017,PUBG Studios,Krafton
Terraria,70,None,Multi-platform,2011,Re-Logic,Re-Logic/505 Games
The Elder Scrolls V: Skyrim,65,The Elder Scrolls,Multi-platform,2011,Bethesda Game Studios,Bethesda Softworks
The Witcher 3: Wild Hunt,65,The Witcher,Multi-platform,2015,CD Projekt Red,CD Projekt
Super Mario Bros.,58,Super Mario,Multi-platform,1985,Nintendo R&D4,Nintendo
Human: Fall Flat,58,None,Multi-platform,2016,No Brakes Games,Curve Digital
Animal Crossing: New Horizons,50.29,Animal Crossing,Nintendo Switch,2020,Nintendo EPD,Nintendo
The Sims,50,The Sims,Multi-platform,2000,Maxis,Electronic Arts
Stardew Valley,50,None,Multi-platform,2016,ConcernedApe,Chucklefish/ConcernedApe
Overwatch,50,Overwatch,Multi-platform,2016,Blizzard Entertainment,Blizzard Entertainment
Pokémon Red/Blue/Yellow,47.44,Pokémon,Multi-platform,1996,Game Freak,Nintendo
Wii Fit/Plus,43.8,Wii,Wii,2007,Nintendo EAD,Nintendo
Call of Duty: Black Ops III,43,Call of Duty,Multi-platform,2015,Treyarch,Activision
Call of Duty: Modern Warfare,41,Call of Duty,Multi-platform,2019,Infinity Ward,Activision
Sonic the Hedgehog,40,Sonic the Hedgehog,Multi-platform,1991,Sonic Team,Sega
Payday 2,40,Payday,Multi-platform,2013,Overkill Software,505 Games
Cyberpunk 2077,40,Cyberpunk,Multi-platform,2020,CD Projekt Red,CD Projekt
Hogwarts Legacy,40,Wizarding World,Multi-platform,2023,Avalanche Software,Warner Bros. Games
Super Smash Bros. Ultimate,38.14,Super Smash Bros.,Nintendo Switch,2018,Bandai Namco Studios/Sora Ltd.,Nintendo
Mario Kart Wii,37.38,Mario Kart,Wii,2008,Nintendo EAD,Nintendo
The Legend of Zelda: Breath of the Wild,35.76,The Legend of Zelda,Multi-platform,2017,Nintendo EPD,Nintendo
Fallout 4,35,Fallout,Multi-platform,2015,Bethesda Game Studios,Bethesda Softworks
Wii Sports Resort,33.14,Wii,Wii,2009,Nintendo EAD,Nintendo
Borderlands 2,31,Borderlands,Multi-platform,2012,Gearbox Software,2K Games
New Super Mario Bros.,30.8,Super Mario,Nintendo DS,2006,Nintendo EAD,Nintendo
Super Mario Odyssey,30.8,Super Mario,Nintendo Switch,2017,Nintendo EPD,Nintendo
Monster Hunter: World,30.4,Monster Hunter,Multi-platform,2018,Capcom,Capcom
New Super Mario Bros. Wii,30.32,Super Mario,Wii,2009,Nintendo EAD,Nintendo
Pokémon Gold/Silver/Crystal,30.12,Pokémon,Game Boy Color,1999,Game Freak,Nintendo
Call of Duty: Black Ops Cold War,30,Call of Duty,Multi-platform,2020,Treyarch/Raven Software,Activision
It Takes Two,30,None,Multi-platform,2021,Hazelight Studios,Electronic Arts
Elden Ring,30,Elden Ring,Multi-platform,2022,FromSoftware,Bandai Namco
Pokémon Scarlet/Violet,28.46,Pokémon,Nintendo Switch,2022,Game Freak,Nintendo/The Pokémon Company
Duck Hunt,28.3,None,Famicom / NES,1984,Nintendo R&D1,Nintendo
Wii Play,28.02,Wii,Wii,2006,Nintendo EAD,Nintendo
Black Myth: Wukong,28,Black Myth,Multi-platform,2024,Game Science,Game Science
Grand Theft Auto: San Andreas,27.5,Grand Theft Auto,Multi-platform,2004,Rockstar North,Rockstar Games
Pokémon Sword/Shield,27.26,Pokémon,Nintendo Switch,2019,Game Freak,Nintendo/The Pokémon Company
Call of Duty: Modern Warfare 3,26.5,Call of Duty,Multi-platform,2011,Infinity Ward/Sledgehammer,Activision
Call of Duty: Black Ops,26.2,Call of Duty,Multi-platform,2010,Treyarch,Activision
Pokémon Sun/Moon/Ultra Sun/Ultra Moon,25.62,Pokémon,Nintendo 3DS,2016,Game Freak,Nintendo/The Pokémon Company
Garry's Mod,25.56,None,PC,2006,Facepunch Studios,Valve
Pokémon Diamond/Pearl/Platinum,25.5,Pokémon,Nintendo DS,2006,Game Freak,Nintendo/The Pokémon Company
Grand Theft Auto IV,25,Grand Theft Auto,Multi-platform,2008,Rockstar North,Rockstar Games
Phasmophobia,25,None,Multi-platform,2020[m],Kinetic Games,Kinetic Games
